,Station,Date,num_entries
0,1 AV,01/01/2020,5801
1,1 AV,01/02/2020,15135
2,1 AV,01/03/2020,15611
3,1 AV,01/04/2020,6015
4,1 AV,01/05/2020,4724
5,1 AV,01/06/2020,16263
6,1 AV,01/07/2020,16612
7,1 AV,01/08/2020,17206
8,1 AV,01/09/2020,17463
9,1 AV,01/10/2020,17642
10,1 AV,01/11/2020,6971
11,1 AV,01/12/2020,5004
12,1 AV,01/13/2020,16217
13,1 AV,01/14/2020,16978
14,1 AV,01/15/2020,17428
15,1 AV,01/16/2020,17668
16,1 AV,01/17/2020,18247
17,1 AV,01/18/2020,5209
18,1 AV,01/19/2020,4281
19,1 AV,01/20/2020,10184
20,1 AV,01/21/2020,16832
21,1 AV,01/22/2020,16679
22,1 AV,01/23/2020,17100
23,1 AV,01/24/2020,16801
24,1 AV,01/25/2020,6000
25,1 AV,01/26/2020,4970
26,1 AV,01/27/2020,16013
27,1 AV,01/28/2020,17235
28,1 AV,01/29/2020,17554
29,1 AV,01/30/2020,17644
30,1 AV,01/31/2020,18149
31,1 AV,02/01/2020,6419
32,1 AV,02/02/2020,5210
33,1 AV,02/03/2020,16598
34,1 AV,02/04/2020,17577
35,1 AV,02/05/2020,17866
36,1 AV,02/06/2020,17926
37,1 AV,02/07/2020,18438
38,1 AV,02/08/2020,6572
39,1 AV,02/09/2020,4995
40,1 AV,02/10/2020,17261
41,1 AV,02/11/2020,17795
42,1 AV,02/12/2020,18058
43,1 AV,02/13/2020,18374
44,1 AV,02/14/2020,19046
45,1 AV,02/15/2020,4812
46,1 AV,02/16/2020,3880
47,1 AV,02/17/2020,5801
48,1 AV,02/18/2020,13669
49,1 AV,02/19/2020,13970
50,1 AV,02/20/2020,14386
51,1 AV,02/21/2020,14199
52,1 AV,02/22/2020,6015
53,1 AV,02/23/2020,4273
54,1 AV,02/24/2020,14697
55,1 AV,02/25/2020,15553
56,1 AV,02/26/2020,16167
57,1 AV,02/27/2020,16453
58,1 AV,02/28/2020,16985
59,1 AV,02/29/2020,6000
60,1 AV,03/01/2020,4234
61,1 AV,03/02/2020,14854
62,1 AV,03/03/2020,15527
63,1 AV,03/04/2020,14331
64,1 AV,03/05/2020,15735
65,1 AV,03/06/2020,15950
66,1 AV,03/07/2020,5764
67,1 AV,03/08/2020,3431
68,1 AV,03/09/2020,13073
69,1 AV,03/10/2020,13054
70,1 AV,03/11/2020,12423
71,1 AV,03/12/2020,11433
72,1 AV,03/13/2020,9415
73,1 AV,03/14/2020,2367
74,1 AV,03/15/2020,1635
75,1 AV,03/16/2020,4851
76,1 AV,03/17/2020,4132
77,1 AV,03/18/2020,3713
78,1 AV,03/19/2020,3223
79,1 AV,03/20/2020,3067
80,1 AV,03/21/2020,8
81,1 AV,03/22/2020,13
82,1 AV,03/23/2020,1851
83,1 AV,03/24/2020,2058
84,1 AV,03/25/2020,1956
85,1 AV,03/26/2020,1896
86,1 AV,03/27/2020,1736
87,1 AV,12/28/2019,5452
88,1 AV,12/29/2019,4409
89,1 AV,12/30/2019,12363
90,1 AV,12/31/2019,12834
91,103 ST,01/01/2020,12002
92,103 ST,01/02/2020,24401
93,103 ST,01/03/2020,24977
94,103 ST,01/04/2020,16087
95,103 ST,01/05/2020,12353
96,103 ST,01/06/2020,26892
97,103 ST,01/07/2020,27976
98,103 ST,01/08/2020,27963
99,103 ST,01/09/2020,28248
100,103 ST,01/10/2020,27357
101,103 ST,01/11/2020,15609
102,103 ST,01/12/2020,12624
103,103 ST,01/13/2020,25494
104,103 ST,01/14/2020,27684
105,103 ST,01/15/2020,28103
106,103 ST,01/16/2020,28106
107,103 ST,01/17/2020,27273
108,103 ST,01/18/2020,13972
109,103 ST,01/19/2020,12670
110,103 ST,01/20/2020,16177
111,103 ST,01/21/2020,26936
112,103 ST,01/22/2020,27385
113,103 ST,01/23/2020,27526
114,103 ST,01/24/2020,27240
115,103 ST,01/25/2020,14248
116,103 ST,01/26/2020,12145
117,103 ST,01/27/2020,26006
118,103 ST,01/28/2020,28136
119,103 ST,01/29/2020,28374
120,103 ST,01/30/2020,28481
121,103 ST,01/31/2020,27403
122,103 ST,02/01/2020,15167
123,103 ST,02/02/2020,13316
124,103 ST,02/03/2020,26704
125,103 ST,02/04/2020,27653
126,103 ST,02/05/2020,28597
127,103 ST,02/06/2020,28380
128,103 ST,02/07/2020,28059
129,103 ST,02/08/2020,15806
130,103 ST,02/09/2020,12214
131,103 ST,02/10/2020,26927
132,103 ST,02/11/2020,28005
133,103 ST,02/12/2020,28698
134,103 ST,02/13/2020,28521
135,103 ST,02/14/2020,27960
136,103 ST,02/15/2020,14347
137,103 ST,02/16/2020,11957
138,103 ST,02/17/2020,15671
139,103 ST,02/18/2020,24193
140,103 ST,02/19/2020,25355
141,103 ST,02/20/2020,25149
142,103 ST,02/21/2020,24611
143,103 ST,02/22/2020,15023
144,103 ST,02/23/2020,12458
145,103 ST,02/24/2020,26398
146,103 ST,02/25/2020,28059
147,103 ST,02/26/2020,28362
148,103 ST,02/27/2020,28586
149,103 ST,02/28/2020,27640
150,103 ST,02/29/2020,15650
151,103 ST,03/01/2020,12209
152,103 ST,03/02/2020,26523
153,103 ST,03/03/2020,27803
154,103 ST,03/04/2020,27867
155,103 ST,03/05/2020,27609
156,103 ST,03/06/2020,26691
157,103 ST,03/07/2020,14838
158,103 ST,03/08/2020,11647
159,103 ST,03/09/2020,25466
160,103 ST,03/10/2020,25369
161,103 ST,03/11/2020,24825
162,103 ST,03/12/2020,22867
163,103 ST,03/13/2020,19083
164,103 ST,03/14/2020,9189
165,103 ST,03/15/2020,6458
166,103 ST,03/16/2020,11976
167,103 ST,03/17/2020,10217
168,103 ST,03/18/2020,9759
169,103 ST,03/19/2020,8464
170,103 ST,03/20/2020,7773
171,103 ST,03/21/2020,3994
172,103 ST,03/22/2020,2812
173,103 ST,03/23/2020,4901
174,103 ST,03/24/2020,4977
175,103 ST,03/25/2020,4698
176,103 ST,03/26/2020,4624
177,103 ST,03/27/2020,4834
178,103 ST,12/28/2019,14479
179,103 ST,12/29/2019,12581
180,103 ST,12/30/2019,21214
181,103 ST,12/31/2019,20817
182,103 ST-CORONA,01/01/2020,7879
183,103 ST-CORONA,01/02/2020,18848
184,103 ST-CORONA,01/03/2020,19346
185,103 ST-CORONA,01/04/2020,13406
186,103 ST-CORONA,01/05/2020,10266
187,103 ST-CORONA,01/06/2020,19654
188,103 ST-CORONA,01/07/2020,19678
189,103 ST-CORONA,01/08/2020,20009
190,103 ST-CORONA,01/09/2020,19739
191,103 ST-CORONA,01/10/2020,20423
192,103 ST-CORONA,01/11/2020,14079
193,103 ST-CORONA,01/12/2020,10514
194,103 ST-CORONA,01/13/2020,19537
195,103 ST-CORONA,01/14/2020,19752
196,103 ST-CORONA,01/15/2020,20383
197,103 ST-CORONA,01/16/2020,20272
198,103 ST-CORONA,01/17/2020,19929
199,103 ST-CORONA,01/18/2020,12585
