,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
0,1 AV,01/01/2020,5801,19046,387,0.2901548850420709
1,1 AV,01/02/2020,15135,19046,387,0.790396055522804
2,1 AV,01/03/2020,15611,19046,387,0.8159065330403559
3,1 AV,01/04/2020,6015,19046,387,0.3016238812369366
4,1 AV,01/05/2020,4724,19046,387,0.23243474998660163
5,1 AV,01/06/2020,16263,19046,387,0.8508494560265824
6,1 AV,01/07/2020,16612,19046,387,0.8695535666434429
7,1 AV,01/08/2020,17206,19046,387,0.9013880701002197
8,1 AV,01/09/2020,17463,19046,387,0.9151615842220913
9,1 AV,01/10/2020,17642,19046,387,0.9247548100112546
10,1 AV,01/11/2020,6971,19046,387,0.352859210032692
11,1 AV,01/12/2020,5004,19046,387,0.24744091323222037
12,1 AV,01/13/2020,16217,19046,387,0.8483841577790878
13,1 AV,01/14/2020,16978,19046,387,0.889168765743073
14,1 AV,01/15/2020,17428,19046,387,0.9132858138163888
15,1 AV,01/16/2020,17668,19046,387,0.9261482394554906
16,1 AV,01/17/2020,18247,19046,387,0.9571788413098237
17,1 AV,01/18/2020,5209,19046,387,0.2584275684656198
18,1 AV,01/19/2020,4281,19046,387,0.20869285599442627
19,1 AV,01/20/2020,10184,19046,387,0.525054933276167
20,1 AV,01/21/2020,16832,19046,387,0.8813441234792861
21,1 AV,01/22/2020,16679,19046,387,0.8731443271343587
22,1 AV,01/23/2020,17100,19046,387,0.8957071654429498
23,1 AV,01/24/2020,16801,19046,387,0.8796827268342355
24,1 AV,01/25/2020,6000,19046,387,0.30081997963449275
25,1 AV,01/26/2020,4970,19046,387,0.24561873626668096
26,1 AV,01/27/2020,16013,19046,387,0.8374510959858513
27,1 AV,01/28/2020,17235,19046,387,0.9029422798649446
28,1 AV,01/29/2020,17554,19046,387,0.9200385872769173
29,1 AV,01/30/2020,17644,19046,387,0.9248619968915804
30,1 AV,01/31/2020,18149,19046,387,0.9519266841738572
31,1 AV,02/01/2020,6419,19046,387,0.3232756310627579
32,1 AV,02/02/2020,5210,19046,387,0.25848116190578274
33,1 AV,02/03/2020,16598,19046,387,0.8688032584811619
34,1 AV,02/04/2020,17577,19046,387,0.9212712364006646
35,1 AV,02/05/2020,17866,19046,387,0.9367597406077496
36,1 AV,02/06/2020,17926,19046,387,0.939975347017525
37,1 AV,02/07/2020,18438,19046,387,0.9674151883809422
38,1 AV,02/08/2020,6572,19046,387,0.3314754274076853
39,1 AV,02/09/2020,4995,19046,387,0.24695857227075407
40,1 AV,02/10/2020,17261,19046,387,0.9043357093091805
41,1 AV,02/11/2020,17795,19046,387,0.932954606356182
42,1 AV,02/12/2020,18058,19046,387,0.947049681119031
43,1 AV,02/13/2020,18374,19046,387,0.963985208210515
44,1 AV,02/14/2020,19046,19046,387,1.0
45,1 AV,02/15/2020,4812,19046,387,0.23715097272093896
46,1 AV,02/16/2020,3880,19046,387,0.18720188648909372
47,1 AV,02/17/2020,5801,19046,387,0.2901548850420709
48,1 AV,02/18/2020,13669,19046,387,0.7118280722439574
49,1 AV,02/19/2020,13970,19046,387,0.7279596977329975
50,1 AV,02/20/2020,14386,19046,387,0.7502545688407739
51,1 AV,02/21/2020,14199,19046,387,0.7402325955303071
52,1 AV,02/22/2020,6015,19046,387,0.3016238812369366
53,1 AV,02/23/2020,4273,19046,387,0.20826410847312288
54,1 AV,02/24/2020,14697,19046,387,0.7669221287314433
55,1 AV,02/25/2020,15553,19046,387,0.8127981135109063
56,1 AV,02/26/2020,16167,19046,387,0.8457044857709416
57,1 AV,02/27/2020,16453,19046,387,0.8610322096575379
58,1 AV,02/28/2020,16985,19046,387,0.8895439198242135
59,1 AV,02/29/2020,6000,19046,387,0.30081997963449275
60,1 AV,03/01/2020,4234,19046,387,0.20617396430676885
61,1 AV,03/02/2020,14854,19046,387,0.7753362988370224
62,1 AV,03/03/2020,15527,19046,387,0.8114046840666702
63,1 AV,03/04/2020,14331,19046,387,0.7473069296318131
64,1 AV,03/05/2020,15735,19046,387,0.8225521196205584
65,1 AV,03/06/2020,15950,19046,387,0.8340747092555871
66,1 AV,03/07/2020,5764,19046,387,0.28817192775604267
67,1 AV,03/08/2020,3431,19046,387,0.16313843185594085
68,1 AV,03/09/2020,13073,19046,387,0.6798863819068546
69,1 AV,03/10/2020,13054,19046,387,0.6788681065437591
70,1 AV,03/11/2020,12423,19046,387,0.645050645800954
71,1 AV,03/12/2020,11433,19046,387,0.5919931400396592
72,1 AV,03/13/2020,9415,19046,387,0.4838415777908784
73,1 AV,03/14/2020,2367,19046,387,0.10611501152258963
74,1 AV,03/15/2020,1635,19046,387,0.06688461332332922
75,1 AV,03/16/2020,4851,19046,387,0.239241116887293
76,1 AV,03/17/2020,4132,19046,387,0.2007074334101506
77,1 AV,03/18/2020,3713,19046,387,0.1782517819818854
78,1 AV,03/19/2020,3223,19046,387,0.15199099630205262
79,1 AV,03/20/2020,3067,19046,387,0.14363041963663647
80,1 AV,03/23/2020,1851,19046,387,0.07846079639852083
81,1 AV,03/24/2020,2058,19046,387,0.0895546385122461
82,1 AV,03/25/2020,1956,19046,387,0.08408810761562785
83,1 AV,03/26/2020,1896,19046,387,0.0808725012058524
84,1 AV,03/27/2020,1736,19046,387,0.07229755077978456
85,1 AV,03/28/2020,456,19046,387,0.00369794737124176
86,1 AV,03/29/2020,397,19046,387,0.0005359344016292406
87,1 AV,03/30/2020,1531,19046,387,0.06131089554638512
88,1 AV,03/31/2020,1466,19046,387,0.05782732193579506
89,1 AV,04/01/2020,1483,19046,387,0.05873841041856477
90,1 AV,04/02/2020,1348,19046,387,0.05150329599657002
91,1 AV,04/03/2020,1316,19046,387,0.04978830591135645
92,1 AV,04/04/2020,570,19046,387,0.009807599549815103
93,1 AV,04/05/2020,393,19046,387,0.00032156064097754435
94,1 AV,04/06/2020,1266,19046,387,0.04710863390321025
95,1 AV,04/07/2020,1232,19046,387,0.045286456937670826
96,1 AV,04/08/2020,1265,19046,387,0.04705504046304732
97,1 AV,04/09/2020,1168,19046,387,0.04185647676724369
98,1 AV,04/10/2020,1121,19046,387,0.039337585079586256
99,1 AV,04/11/2020,504,19046,387,0.006270432499062115
100,1 AV,04/12/2020,387,19046,387,0.0
101,1 AV,04/13/2020,1055,19046,387,0.03580041802883327
102,1 AV,04/14/2020,1370,19046,387,0.05268235168015435
103,1 AV,04/15/2020,1289,19046,387,0.0483412830269575
104,1 AV,04/16/2020,1243,19046,387,0.045875984779462996
105,1 AV,04/17/2020,1266,19046,387,0.04710863390321025
106,1 AV,04/18/2020,507,19046,387,0.006431212819550887
107,1 AV,04/19/2020,417,19046,387,0.0016078032048877217
108,1 AV,04/20/2020,1266,19046,387,0.04710863390321025
109,1 AV,04/21/2020,1270,19046,387,0.047323007663861945
110,1 AV,04/22/2020,1469,19046,387,0.057988102256283834
111,1 AV,04/23/2020,1352,19046,387,0.05171766975722172
112,1 AV,04/24/2020,1361,19046,387,0.05220001071868803
113,1 AV,12/28/2019,5452,19046,387,0.2714507744252104
114,1 AV,12/29/2019,4409,19046,387,0.21555281633528056
115,1 AV,12/30/2019,12363,19046,387,0.6418350393911785
116,1 AV,12/31/2019,12834,19046,387,0.6670775497079158
117,103 ST,01/01/2020,12002,28698,1505,0.3860184606332512
118,103 ST,01/02/2020,24401,28698,1505,0.8419813922700695
119,103 ST,01/03/2020,24977,28698,1505,0.8631633140881845
120,103 ST,01/04/2020,16087,28698,1505,0.536240944360681
121,103 ST,01/05/2020,12353,28698,1505,0.398926194241165
122,103 ST,01/06/2020,26892,28698,1505,0.9335858492994521
123,103 ST,01/07/2020,27976,28698,1505,0.97344904938771
124,103 ST,01/08/2020,27963,28698,1505,0.9729709851800096
125,103 ST,01/09/2020,28248,28698,1505,0.9834516235795977
126,103 ST,01/10/2020,27357,28698,1505,0.9506858382672011
127,103 ST,01/11/2020,15609,28698,1505,0.5186628911852315
128,103 ST,01/12/2020,12624,28698,1505,0.40889199426322953
129,103 ST,01/13/2020,25494,28698,1505,0.8821755598867356
130,103 ST,01/14/2020,27684,28698,1505,0.9627109917993601
131,103 ST,01/15/2020,28103,28698,1505,0.9781193689552459
132,103 ST,01/16/2020,28106,28698,1505,0.9782296914647152
133,103 ST,01/17/2020,27273,28698,1505,0.9475968080020594
134,103 ST,01/18/2020,13972,28698,1505,0.4584635751847902
135,103 ST,01/19/2020,12670,28698,1505,0.41058360607509287
136,103 ST,01/20/2020,16177,28698,1505,0.5395506196447615
137,103 ST,01/21/2020,26936,28698,1505,0.9352039127716691
138,103 ST,01/22/2020,27385,28698,1505,0.9517155150222484
139,103 ST,01/23/2020,27526,28698,1505,0.9569006729673077
140,103 ST,01/24/2020,27240,28698,1505,0.9463832603978966
141,103 ST,01/25/2020,14248,28698,1505,0.46861324605597027
142,103 ST,01/26/2020,12145,28698,1505,0.39127716691795683
143,103 ST,01/27/2020,26006,28698,1505,0.901003934836171
144,103 ST,01/28/2020,28136,28698,1505,0.9793329165594087
145,103 ST,01/29/2020,28374,28698,1505,0.9880851689773104
146,103 ST,01/30/2020,28481,28698,1505,0.9920200051483837
147,103 ST,01/31/2020,27403,28698,1505,0.9523774500790645
148,103 ST,02/01/2020,15167,28698,1505,0.5024087081234141
149,103 ST,02/02/2020,13316,28698,1505,0.434339719780826
150,103 ST,02/03/2020,26704,28698,1505,0.9266723053727062
151,103 ST,02/04/2020,27653,28698,1505,0.9615709925348436
152,103 ST,02/05/2020,28597,28698,1505,0.9962858088478652
153,103 ST,02/06/2020,28380,28698,1505,0.9883058139962491
154,103 ST,02/07/2020,28059,28698,1505,0.9765013054830287
155,103 ST,02/08/2020,15806,28698,1505,0.5259074026403854
156,103 ST,02/09/2020,12214,28698,1505,0.39381458463575186
157,103 ST,02/10/2020,26927,28698,1505,0.9348729452432611
158,103 ST,02/11/2020,28005,28698,1505,0.9745155003125805
159,103 ST,02/12/2020,28698,28698,1505,1.0
160,103 ST,02/13/2020,28521,28698,1505,0.9934909719413084
161,103 ST,02/14/2020,27960,28698,1505,0.9728606626705402
162,103 ST,02/15/2020,14347,28698,1505,0.4722538888684588
163,103 ST,02/16/2020,11957,28698,1505,0.38436362299121096
164,103 ST,02/17/2020,15671,28698,1505,0.5209428897142647
165,103 ST,02/18/2020,24193,28698,1505,0.8343323649468614
166,103 ST,02/19/2020,25355,28698,1505,0.8770639502813224
