,Station,Date,num_entries,"('num_entries', 'amax')","('num_entries', 'amin')",normalized_entries
0,1 AV,01/01/2020,5801,19046,8,0.3042861645130791
1,1 AV,01/02/2020,15135,19046,8,0.7945687572223973
2,1 AV,01/03/2020,15611,19046,8,0.8195713835486921
3,1 AV,01/04/2020,6015,19046,8,0.31552684105473267
4,1 AV,01/05/2020,4724,19046,8,0.2477150961235424
5,1 AV,01/06/2020,16263,19046,8,0.8538186784326085
6,1 AV,01/07/2020,16612,19046,8,0.872150435970165
7,1 AV,01/08/2020,17206,19046,8,0.9033511923521378
8,1 AV,01/09/2020,17463,19046,8,0.9168505095073012
9,1 AV,01/10/2020,17642,19046,8,0.9262527576426095
10,1 AV,01/11/2020,6971,19046,8,0.3657421998109045
11,1 AV,01/12/2020,5004,19046,8,0.26242252337430405
12,1 AV,01/13/2020,16217,19046,8,0.8514024582414119
13,1 AV,01/14/2020,16978,19046,8,0.8913751444479462
14,1 AV,01/15/2020,17428,19046,8,0.915012081100956
15,1 AV,01/16/2020,17668,19046,8,0.9276184473158945
16,1 AV,01/17/2020,18247,19046,8,0.9580313058094337
17,1 AV,01/18/2020,5209,19046,8,0.27319046118289736
18,1 AV,01/19/2020,4281,19046,8,0.22444584515180166
19,1 AV,01/20/2020,10184,19046,8,0.5345099275133942
20,1 AV,01/21/2020,16832,19046,8,0.883706271667192
21,1 AV,01/22/2020,16679,19046,8,0.8756697132051686
22,1 AV,01/23/2020,17100,19046,8,0.8977833806072066
23,1 AV,01/24/2020,16801,19046,8,0.8820779493644291
24,1 AV,01/25/2020,6000,19046,8,0.31473894316629897
25,1 AV,01/26/2020,4970,19046,8,0.2606366214938544
26,1 AV,01/27/2020,16013,19046,8,0.8406870469587141
27,1 AV,01/28/2020,17235,19046,8,0.9048744616031096
28,1 AV,01/29/2020,17554,19046,8,0.9216304233637987
29,1 AV,01/30/2020,17644,19046,8,0.9263578106944007
30,1 AV,01/31/2020,18149,19046,8,0.9528837062716672
31,1 AV,02/01/2020,6419,19046,8,0.33674755751654584
32,1 AV,02/02/2020,5210,19046,8,0.27324298770879296
33,1 AV,02/03/2020,16598,19046,8,0.8714150646076269
34,1 AV,02/04/2020,17577,19046,8,0.922838533459397
35,1 AV,02/05/2020,17866,19046,8,0.9380186994432188
36,1 AV,02/06/2020,17926,19046,8,0.9411702909969535
37,1 AV,02/07/2020,18438,19046,8,0.9680638722554891
38,1 AV,02/08/2020,6572,19046,8,0.3447841159785692
39,1 AV,02/09/2020,4995,19046,8,0.26194978464124385
40,1 AV,02/10/2020,17261,19046,8,0.9062401512763946
41,1 AV,02/11/2020,17795,19046,8,0.9342893161046328
42,1 AV,02/12/2020,18058,19046,8,0.9481037924151696
43,1 AV,02/13/2020,18374,19046,8,0.9647021745981721
44,1 AV,02/14/2020,19046,19046,8,1.0
45,1 AV,02/15/2020,4812,19046,8,0.2523374304023532
46,1 AV,02/16/2020,3880,19046,8,0.20338270826767518
